word	cluster
skinny	0
skinnies	0
skinnied	0
skinniest	0
skinnier	0
skinnying	0
sallow	1
sallower	1
sallowed	1
sallows	1
sallowing	1
sallowest	1
dead	2
deaded	2
deadest	2
deader	2
deads	2
deading	2
rare	3
rarer	3
rarest	3
raring	3
rares	3
rared	3
outgo	4
outgoes	4
outgoing	4
outgone	4
countable	4
outwent	4
wet	5
countable	5
wettest	5
wetter	5
wets	5
wetting	5
short	6
shorter	6
shortest	6
shorts	6
shorted	6
shorting	6
jetty	7
jettied	7
jetties	7
jettying	7
jettier	7
jettiest	7
jolly	8
jollier	8
jollied	8
jollies	8
jolliest	8
jollying	8
sticky	9
stickies	9
stickied	9
stickying	9
stickier	9
stickiest	9
ripe	10
riper	10
riped	10
ripest	10
riping	10
ripes	10
sage	11
sages	11
saged	11
saging	11
sagest	11
sager	11
jemmy	12
jemmied	12
jemmiest	12
jemmier	12
jemmying	12
jemmies	12
glib	13
glibs	13
glibbest	13
glibbed	13
glibber	13
glibbing	13
jerky	14
jerkies	14
jerkying	14
jerkiest	14
countable	14
jerkier	14
jerkied	14
fashy	15
fashies	15
fashying	15
fashiest	15
fashier	15
fashied	15
lazy	16
lazies	16
lazying	16
lazier	16
laziest	16
lazied	16
go	17
countable	17
going	17
went	17
goes	17
gone	17
dim	18
dimming	18
dimmest	18
dims	18
dimmed	18
dimmer	18
worthy	19
worthies	19
worthiest	19
worthier	19
worthying	19
worthied	19
crap	20
craps	20
crapper	20
crapping	20
crappest	20
crapped	20
cross	21
crosser	21
crossed	21
crossest	21
crosses	21
crossing	21
steady	22
steadied	22
steadies	22
steadying	22
steadier	22
steadiest	22
brief	23
briefest	23
briefer	23
briefed	23
briefing	23
briefs	23
fly	24
fliest	24
flown	24
flier	24
flying	24
flys	24
flies	24
flew	24
crook	25
crooking	25
crooker	25
crooks	25
crooked	25
crookest	25
fancy	26
fancying	26
fanciest	26
fancied	26
fancies	26
fancier	26
supple	27
suppled	27
supplest	27
suppling	27
suppler	27
supples	27
sharp	28
sharps	28
sharpest	28
sharping	28
sharper	28
sharped	28
bland	29
blanded	29
blands	29
blanding	29
blander	29
blandest	29
thin	30
thinnest	30
thinned	30
thins	30
thinner	30
thinning	30
clear	31
clearest	31
cleared	31
clearing	31
clearer	31
clears	31
small	32
smallest	32
smalls	32
smalling	32
smalled	32
smaller	32
shank	33
shanks	33
shankest	33
shanking	33
shanker	33
shanked	33
rich	34
richest	34
riching	34
richer	34
riches	34
riched	34
savvy	35
savvier	35
savviest	35
savvies	35
savvying	35
savvied	35
blind	36
blinding	36
blinds	36
blinded	36
blinder	36
blindest	36
plane	37
planer	37
planes	37
planest	37
planed	37
planing	37
empty	38
emptied	38
emptying	38
emptiest	38
emptier	38
empties	38
swink	39
swinking	39
countable	39
swank	39
swunk	39
swinks	39
crank	40
crankest	40
cranks	40
cranker	40
cranked	40
cranking	40
bog	41
