word	cluster
jerky	0
jerkying	0
jerkied	0
jerkiest	0
countable	0
jerkies	0
jerkier	0
fly	1
flies	1
flys	1
flying	1
flown	1
flew	1
fliest	1
flier	1
tender	2
tenders	2
tenderer	2
countable	2
tenderest	2
tendering	2
tendered	2
cocky	3
cockies	3
cockier	3
cockying	3
cockiest	3
informal	3
Australia	3
cockied	3
lean	4
leaned	4
leanest	4
leaning	4
leans	4
leaner	4
leant	4
light	5
lit	5
lightest	5
lighter	5
lighting	5
countable	5
lighted	5
lights	5
sound	6
sounder	6
sounding	6
sounded	6
countable	6
sounds	6
soundest	6
bluff	7
bluffing	7
bluffs	7
bluffest	7
countable	7
bluffer	7
bluffed	7
spruce	8
spruced	8
sprucer	8
sprucest	8
countable	8
spruces	8
sprucing	8
putty	9
puttied	9
putties	9
puttying	9
countable	9
puttiest	9
puttier	9
lush	10
lushes	10
lushing	10
lushest	10
lushed	10
countable	10
lusher	10
ruff	11
ruffs	11
card games	11
ruffer	11
ruffest	11
ruffed	11
ruffing	11
wood	12
wooded	12
wooder	12
wooding	12
countable	12
woods	12
woodest	12
drab	13
drabbed	13
attributively	13
countable	13
drabbing	13
drabber	13
drabbest	13
drabs	13
tarry	14
tarried	14
tarrying	14
tarries	14
tarrier	14
tarriest	14
dated	14
stick	15
sticks	15
countable	15
sticking	15
stickest	15
sticker	15
sticked	15
slurry	16
slurries	16
slurrier	16
slurrying	16
countable	16
slurriest	16
slurried	16
dope	17
dopest	17
countable	17
doping	17
doped	17
dopes	17
doper	17
gas	18
gassing	18
gases	18
countable	18
gasses	18
gassest	18
gassed	18
gasser	18
trim	19
trims	19
trimmest	19
trimmer	19
countable	19
trimming	19
trimmed	19
sour	20
soured	20
sourest	20
souring	20
countable	20
sours	20
sourer	20
sheen	21
sheener	21
sheening	21
sheenest	21
countable	21
sheened	21
sheens	21
slack	22
slackest	22
countable	22
slacks	22
slacked	22
slacking	22
slacker	22
ready	23
readier	23
readying	23
readies	23
readied	23
countable	23
readiest	23
tosh	24
tosher	24
toshest	24
toshed	24
countable	24
toshes	24
toshing	24
ugly	25
uglied	25
countable	25
uglies	25
uglying	25
ugliest	25
uglier	25
blue	26
blues	26
bluest	26
countable	26
bluer	26
blued	26
blueing	26
widdle	27
widdlest	27
countable	27
widdling	27
widdler	27
widdled	27
widdles	27
bully	28
bulliest	28
bullies	28
countable	28
bullying	28
bullied	28
bullier	28
duff	29
duffer	29
duffest	29
countable	29
duffed	29
duffs	29
duffing	29
