word	cluster
centre	0
métacentre	0
biocentrique	0
centripète	0
orthocentre	0
épicentre	0
hypercentre	0
hypocentre	0
égocentrisme	0
dicentrie	0
centroscopie	0
centrique	0
centroïde	0
homocentre	0
mégacentre	0
technocentre	0
centré	0
centriste	0
centrisme	0
écocentrisme	0
centrer	0
photocentre	0
centrifuge	0
apocentre	0
barycentre	0
central	0
centrosome	0
télécentre	0
fer	1
cyanofer	1
ferrate	1
xylofer	1
ferrier	1
entrefer	1
ferret	1
ferrière	1
ferrides	1
ferronne	1
ferron	1
ferrique	1
ferraille	1
férault	1
féret	1
ferreux	1
cœur	2
multicœur	2
contrecœur	2
bicœur	2
hexacœur	2
tricœur	2
cœuret	2
quadricœur	2
décœurer	2
écœurer	2
courée	2
multi-cœur	2
ancœur	2
anticœur	2
courage	2
mono-cœur	2
rat	3
ratereau	3
ratillon	3
ratier	3
raticide	3
rater	3
ratonne	3
ratte	3
ratière	3
Ratopolis	3
rateux	3
dératiser	3
raton	3
rataille	3
rate	3
ratel	3
raté	3
corne	4
cornion	4
racornir	4
encornail	4
bicorne	4
cornure	4
unicorne	4
cornade	4
corné	4
tricorne	4
cornet	4
cornu	4
corner	4
corniotte	4
cornée	4
passer	5
passé	5
passade	5
compasser	5
passoire	5
passement	5
repasser	5
passure	5
passation	5
surpasser	5
passeur	5
passable	5
dépasser	5
passerelle	5
entrepasser	5
passage	5
trépasser	5
cycle	6
mésocyclone	6
tricycle	6
quadricycle	6
cocycle	6
cyclable	6
cyclisme	6
cycloïde	6
péricycle	6
hétérocycle	6
contrecycle	6
tétracycline	6
kilocycle	6
bicycle	6
épicycle	6
cycliste	6
macrocycle	6
hémicycle	6
cyclide	6
cyclique	6
aquacycle	6
gigacycle	6
monocycle	6
cyclone	6
cyclozoaire	6
mégacycle	6
litre	7
zettalitre	7
décalitre	7
mégalitre	7
yoctolitre	7
litron	7
nanolitre	7
pétalitre	7
picolitre	7
téralitre	7
zeptolitre	7
gigalitre	7
millilitre	7
microlitre	7
yottalitre	7
exalitre	7
hectolitre	7
kilolitre	7
attolitre	7
décilitre	7
centilitre	7
femtolitre	7
jambe	8
jambier	8
mi-jambe	8
jambière	8
jambart	8
jambiser	8
entrejambe	8
jambage	8
gembin	8
jambette	8
jambelet	8
jamber	8
jambard	8
jambon	8
éjamber	8
gramme	9
microgramme	9
kilogramme	9
picogramme	9
attogramme	9
gigagramme	9
décagramme	9
exagramme	9
pétagramme	9
zettagramme	9
femtogramme	9
yottagramme	9
mégagramme	9
zeptogramme	9
téragramme	9
nanogramme	9
grammage	9
quadrigramme	9
centigramme	9
yoctogramme	9
milligramme	9
hectogramme	9
décigramme	9
sinogramme	9
barbe	10
barberie	10
barbouze	10
barbier	10
barbelet	10
sous-barbe	10
barbelé	10
barbet	10
barbu	10
barberon	10
barbiche	10
barbille	10
barber	10
barbeler	10
barbifier	10
barbelure	10
barbiste	10
imberbe	10
barbasse	10
barbeau	10
barbillon	10
barbette	10
herbe	11
herbeline	11
herbet	11
herbu	11
herbologie	11
herberie	11
herbier	11
herbicide	11
herbière	11
herber	11
herbeux	11
herbifère	11
herbacé	11
herbage	11
herbette	11
herbaille	11
désherber	11
herbicole	11
herbivore	11
dent	12
dentelle	12
dentaire	12
denture	12
dental	12
dentu	12
denticide	12
denter	12
dentine	12
dentifère	12
trident	12
redent	12
surdent	12
dentiforme	12
dentiste	12
denté	12
dentier	12
couper	13
coupeur	13
s’entrecouper	13
entre-couper	13
coupage	13
coupis	13
coupasser	13
couperie	13
coupoir	13
coupure	13
s’entre-couper	13
coupailler	13
découper	13
couperet	13
coupanges	13
coupeuse	13
coupacer	13
surcouper	13
coupement	13
entrecouper	13
coupant	13
recouper	13
coupon	13
coupé	13
culture	14
phoeniciculture	14
culturel	14
entomoculture	14
herpétoculture	14
spermoculture	14
subculture	14
aquaculture	14
apiculture	14
motoculture	14
interculture	14
oviculture	14
inculture	14
culturisme	14
contreculture	14
permaculture	14
bioculture	14
monoculture	14
coculture	14
culturiste	14
agriculture	14
cyberculture	14
électroculture	14
xyloculture	14
culturer	14
coproculture	14
polyculture	14
alpiculture	14
aviculture	14
acide	15
uracile	15
acidimétrie	15
biacide	15
polyacide	15
acidage	15
antiacide	15
oxoacide	15
monoacide	15
triacide	15
diacide	15
acidité	15
acidurie	15
superacide	15
thioacide	15
acidimètre	15
acidose	15
oxyacide	15
peracide	15
désacidage	15
acidifère	15
oxacide	15
xéroacidiphile	15
cétoacide	15
hydracide	15
acidifier	15
aminoacide	15
fil	16
filé	16
filardeau	16
filardeux	16
filière	16
filiforme	16
filou	16
surfil	16
filon	16
transfil	16
nanofil	16
fileur	16
profil	16
filterie	16
filin	16
filable	16
filaire	16
file	16
filoir	16
filasse	16
filothèque	16
fileux	16
multifil	16
filet	16
rose	17
roséole	17
rosé	17
rosette	17
roséine	17
rosetier	17
roselet	17
roseur	17
rosir	17
roser	17
roselle	17
rosace	17
roseraie	17
rosier	17
rosâtre	17
rosière	17
rosacé	17
Rosemont	17
rouler	18
roulotter	18
roulure	18
roulage	18
roulier	18
dérouler	18
roulant	18
enrouler	18
roulotte	18
roulé	18
rouleau	18
roulable	18
roulement	18
rouleuse	18
roulon	18
rouleur	18
roulis	18
rouloir	18
roulée	18
roulette	18
roulade	18
virus	19
provirus	19
myovirus	19
phytovirus	19
microvirus	19
virose	19
tétravirus	19
hypovirus	19
pneumovirus	19
nanovirus	19
entérovirus	19
astrovirus	19
virion	19
phlébovirus	19
myxovirus	19
rétrovirus	19
virusser	19
cardiovirus	19
supervirus	19
viroïde	19
viral	19
antivirus	19
zoovirus	19
lipovirus	19
rhabdovirus	19
hépatovirus	19
bactériovirus	19
pseudovirus	19
rhinovirus	19
parvovirus	19
adénovirus	19
argent	20
argenture	20
argenteur	20
argentique	20
argenter	20
argenton	20
argentan	20
nanoargent	20
argenterie	20
argentation	20
argenteux	20
argentophile	20
argentite	20
argentate	20
argental	20
argentisme	20
argentier	20
cyberargent	20
argentin	20
argentifère	20
corde	21
tricorde	21
cordelette	21
polycorde	21
cordier	21
cordelet	21
cordon	21
cordeau	21
cordelle	21
cordière	21
corder	21
corderie	21
supercorde	21
multicordes	21
multicorde	21
cordée	21
cordage	21
cordasson	21
paracorde	21
hypercorde	21
porter	22
porteur	22
exporter	22
importer	22
portant	22
téléporter	22
emporter	22
spatioporté	22
portance	22
portable	22
déporter	22
portée	22
héliporter	22
reporter	22
portage	22
déportement	22
transporter	22
continental	23
péricontinental	23
monocontinental	23
polycontinental	23
intracontinental	23
hypocontinental	23
mésocontinental	23
anticontinental	23
paracontinental	23
néocontinental	23
infra-continental	23
endocontinental	23
supercontinental	23
intercontinental	23
précontinental	23
continentaliser	23
tricontinental	23
unicontinental	23
protocontinental	23
proto-continental	23
pluricontinental	23
hydrocontinental	23
transcontinental	23
archicontinental	23
semi-continental	23
infracontinental	23
bicontinental	23
isocontinental	23
hypercontinental	23
épicontinental	23
quadricontinental	23
multicontinental	23
paléocontinental	23
