word	cluster
virus	0
rétrovirus	0
virusser	0
hépatovirus	0
adénovirus	0
nanovirus	0
pneumovirus	0
antivirus	0
viroïde	0
parvovirus	0
hypovirus	0
bactériovirus	0
myxovirus	0
entérovirus	0
supervirus	0
phlébovirus	0
astrovirus	0
virion	0
myovirus	0
rhinovirus	0
microvirus	0
tétravirus	0
phytovirus	0
viral	0
cardiovirus	0
lipovirus	0
pseudovirus	0
rhabdovirus	0
zoovirus	0
provirus	0
virose	0
continental	1
infra-continental	1
paléocontinental	1
supercontinental	1
tricontinental	1
anticontinental	1
isocontinental	1
intracontinental	1
unicontinental	1
intercontinental	1
archicontinental	1
semi-continental	1
multicontinental	1
mésocontinental	1
proto-continental	1
extracontinental	1
hydrocontinental	1
péricontinental	1
transcontinental	1
quadricontinental	1
monocontinental	1
bicontinental	1
supracontinental	1
polycontinental	1
néocontinental	1
protocontinental	1
circumcontinental	1
afro-continental	1
continentaliser	1
précontinental	1
épicontinental	1
hypocontinental	1
sub-continental	1
infracontinental	1
pluricontinental	1
hypercontinental	1
paracontinental	1
subcontinental	1
amphicontinental	1
endocontinental	1
type	2
typomètre	2
atype	2
biotype	2
homotype	2
haplotype	2
autotype	2
ferrotype	2
typophonie	2
télétype	2
stratotype	2
pseudo-type	2
hétérotypien	2
contretype	2
phototype	2
prototype	2
typesse	2
héliotype	2
typolithe	2
galvanotype	2
monotype	2
logotype	2
antitype	2
typiser	2
caryotype	2
stéréotype	2
tachytypie	2
sérotype	2
électrotype	2
phénotype	2
typographe	2
typifier	2
typologie	2
chromotype	2
typique	2
typer	2
génotype	2
mésotype	2
sténotype	2
mètre	3
lysimètre	3
micromètre	3
yottamètre	3
heptamètre	3
trimètre	3
pantomètre	3
examètre	3
zeptomètre	3
gyromètre	3
téramètre	3
kilomètre	3
picomètre	3
pentamètre	3
pycnomètre	3
myriamètre	3
cytomètre	3
gigamètre	3
hypermètre	3
décamètre	3
hectomètre	3
pétamètre	3
femtomètre	3
glycomètre	3
psychomètre	3
mégamètre	3
attomètre	3
millimètre	3
décimètre	3
oxymètre	3
centimètre	3
nanomètre	3
zettamètre	3
psychrométrie	3
céphalomètre	3
monomètre	3
scléromètre	3
dimètre	3
ériomètre	3
métrer	3
yoctomètre	3
tétramètre	3
polymètre	3
hexamètre	3
biologie	4
scotobiologie	4
zoobiologie	4
chronobiologique	4
phytobiologie	4
anthropobiologie	4
paléobiologie	4
exobiologie	4
électrobiologie	4
biologique	4
neurobiologie	4
photobiologie	4
amphibiologie	4
géobiologie	4
microbiologie	4
hydrobiologie	4
astrobiologie	4
radiobiologie	4
sociobiologie	4
chronobiologie	4
xénobiologie	4
ethnobiologie	4
aérobiologie	4
biologisme	4
écobiologie	4
orthobiologie	4
agrobiologie	4
biologiste	4
biologue	4
biologisation	4
biologiser	4
chimie	5
glycochimie	5
actinochimie	5
sémiochimie	5
chimiatre	5
chimique	5
pyrochimie	5
nitrochimie	5
piézochimie	5
photochimie	5
neurochimie	5
immunochimie	5
sonochimie	5
physicochimie	5
héliochimie	5
nanochimie	5
stéréochimie	5
agrochimie	5
galactochimie	5
exochimie	5
topochimie	5
biochimie	5
xylochimie	5
électro-chimie	5
limnochimie	5
oléochimie	5
cosmochimie	5
zoochimie	5
microchimie	5
polychimie	5
écochimie	5
minéralochimie	5
nucléochimie	5
femtochimie	5
carbochimie	5
astrochimie	5
cytochimie	5
chimiothèque	5
macrochimie	5
histochimie	5
géochimie	5
xénochimie	5
bactériochimie	5
magnétochimie	5
cryochimie	5
spectrochimie	5
fluorochimie	5
oxychimie	5
pneumochimie	5
phytochimie	5
radiochimie	5
hématochimie	5
pétrochimie	5
pharmacochimie	5
hydrochimie	5
chimification	5
lipochimie	5
sociochimie	5
thermochimie	5
pédochimie	5
dendrochimie	5
lithochimie	5
iatrochimie	5
sélénochimie	5
mécanochimie	5
électrochimie	5
virochimie	5
organochimie	5
chimiste	5
sphère	6
mésosphère	6
lithosphère	6
oncosphère	6
chromosphère	6
astrosphère	6
oosphère	6
biosphère	6
exosphère	6
infosphère	6
sphéroïde	6
pseudosphère	6
barysphère	6
hypersphère	6
afrosphère	6
hétérosphère	6
photosphère	6
acrosphère	6
hydrosphère	6
graphosphère	6
cryosphère	6
logosphère	6
hémisphère	6
stratosphère	6
demi-sphère	6
bathysphère	6
magnétosphère	6
aérosphère	6
thanatosphère	6
écosphère	6
microsphère	6
sphéromètre	6
héliosphère	6
thermosphère	6
géosphère	6
zygosphère	6
sphérique	6
anthroposphère	6
thérapie	7
endothérapie	7
adrénothérapie	7
zoothérapie	7
autothérapie	7
équithérapie	7
thérapiste	7
iodothérapie	7
lithothérapie	7
physiothérapie	7
mésothérapie	7
magnétothérapie	7
chimiothérapie	7
somatothérapie	7
isothérapie	7
biothérapie	7
thalassothérapie	7
actinothérapie	7
cyclothérapie	7
entomothérapie	7
géothérapie	7
podothérapie	7
holothérapie	7
graphothérapie	7
sylvothérapie	7
cryothérapie	7
coprothérapie	7
hépatothérapie	7
galactothérapie	7
polythérapie	7
bibliothérapie	7
microthérapie	7
cacothérapie	7
cosmothérapie	7
sociothérapie	7
radiothérapie	7
physicothérapie	7
trithérapie	7
chromothérapie	7
hétérothérapie	7
chronothérapie	7
musicothérapie	7
cinéthérapie	7
hypothérapie	7
nanothérapie	7
apithérapie	7
hypnothérapie	7
aérothérapie	7
hyperthérapie	7
cytothérapie	7
héliothérapie	7
histothérapie	7
pélothérapie	7
œnothérapie	7
balnéothérapie	7
mycothérapie	7
pseudothérapie	7
métathérapie	7
gastrothérapie	7
thermothérapie	7
sociothérapique	7
immunothérapie	7
antithérapie	7
sérothérapie	7
hydrothérapie	7
orthothérapie	7
psychothérapie	7
écothérapie	7
phytothérapie	7
mécanothérapie	7
photothérapie	7
exothérapie	7
chrysothérapie	7
organothérapie	7
métallothérapie	7
apothérapie	7
embryothérapie	7
endothérapique	7
corticothérapie	7
bronchothérapie	7
électrothérapie	7
cynothérapie	7
astrothérapie	7
vaccinothérapie	7
pharmacothérapie	7
anthropothérapie	7
gemmothérapie	7
macrothérapie	7
sclérothérapie	7
cryptothérapie	7
chirothérapie	7
hippothérapie	7
ergothérapie	7
neurothérapie	7
ethnothérapie	7
génothérapie	7
monothérapie	7
onirothérapie	7
carbothérapie	7
narcothérapie	7
halothérapie	7
rhinothérapie	7
oligothérapie	7
cyberthérapie	7
glycothérapie	7
barothérapie	7
genèse	8
épigenèse	8
ostéogenèse	8
transgenèse	8
digenèse	8
anthropogenèse	8
chronogenèse	8
monogenèse	8
cladogenèse	8
thermogenèse	8
