word	cluster
prévoir	0
prévoirons	0
prévoie	0
prévoiront	0
prévoirions	0
prévue	0
prévoyait	0
prévîmes	0
prévoirait	0
prévissent	0
prévoient	0
prévisse	0
prévis	0
prévirent	0
prévîtes	0
prévoira	0
prévoyez	0
prévoies	0
prévissiez	0
prévoiriez	0
prévoyais	0
prévu	0
prévissions	0
prévoiraient	0
prévois	0
prévoyions	0
prévit	0
prévoirez	0
prévoirais	0
prévoit	0
prévues	0
prévoyant	0
prévoyaient	0
prévoyons	0
prévisses	0
prévoyiez	0
prévoiras	0
prévus	0
prévît	0
prévoirai	0
fourrager	1
fourrageront	1
fourrageasses	1
fourragerions	1
fourragiez	1
fourrageait	1
fourragerai	1
fourragez	1
fourragerons	1
fourrageons	1
fourragions	1
fourrageât	1
fourragent	1
fourrageassions	1
fourragées	1
fourragères	1
fourrages	1
fourragerais	1
fourrageâmes	1
fourragerait	1
fourrageas	1
fourrageras	1
fourragé	1
fourragera	1
fourragère	1
fourrageaient	1
fourragée	1
fourragea	1
fourrageassiez	1
fourrageasse	1
fourrageai	1
fourragèrent	1
fourragerez	1
fourrageriez	1
fourrageâtes	1
fourrageraient	1
fourragés	1
fourrageassent	1
fourragers	1
fourrage	1
fourrageant	1
fourrageais	1
vader	2
vadraient	2
vadrais	2
vaderiez	2
vadâtes	2
vadaient	2
vadai	2
vadassiez	2
vadais	2
vaderez	2
vadasse	2
vaderas	2
vadées	2
vadront	2
vadasses	2
vadra	2
vada	2
vadée	2
vadât	2
vaderaient	2
vadés	2
vas	2
vaderais	2
vadrait	2
vadions	2
vaderai	2
vadant	2
vadez	2
vadâmes	2
vaderait	2
vadrons	2
vadras	2
vadait	2
vadrez	2
vadassent	2
vades	2
vadons	2
vadera	2
vadent	2
vadriez	2
vaderons	2
vadassions	2
vaderont	2
vaderions	2
vadas	2
vadrai	2
vadrions	2
vadiez	2
vadé	2
vade	2
vadèrent	2
dévêtir	3
dévêtiriez	3
dévêtirez	3
dévêtue	3
dévêtit	3
dévêtirions	3
dévêtirais	3
dévêtirent	3
dévêtant	3
dévêtions	3
dévêt	3
dévête	3
dévêtu	3
dévêtissent	3
dévêtiraient	3
dévêtisses	3
dévêtirait	3
dévêtiras	3
se dévêtir	3
dévêtons	3
dévêtiront	3
dévêtîtes	3
dévêtîmes	3
dévêtira	3
dévêtus	3
dévêtent	3
dévêtît	3
dévêtis	3
dévêts	3
dévêtissiez	3
dévêtirai	3
dévêtisse	3
dévêtez	3
dévêtues	3
dévêtiez	3
dévêtaient	3
dévêtirons	3
dévêtais	3
dévêtait	3
dévêtes	3
dévêtissions	3
abonner	4
abonnerons	4
s'abonner	4
abonnasse	4
abonnait	4
abonnais	4
abonniez	4
abonnerez	4
abonnât	4
abonnant	4
abonnassent	4
abonnai	4
abonneront	4
abonné	4
abonnaient	4
abonnée	4
abonnent	4
abonnèrent	4
abonnées	4
abonnâmes	4
abonne	4
abonnassiez	4
abonna	4
abonneraient	4
abonnez	4
abonnasses	4
abonnions	4
abonneras	4
abonnerai	4
abonneriez	4
abonnerait	4
abonnâtes	4
abonnassions	4
abonnera	4
abonnons	4
abonnas	4
abonnerais	4
abonnerions	4
abonnés	4
abonnes	4
conseiller	5
conseillâtes	5
conseillâmes	5
conseillions	5
conseillassiez	5
conseillerions	5
conseillai	5
conseillère	5
conseilleriez	5
conseillât	5
conseillassions	5
conseillais	5
conseillait	5
conseille	5
conseillera	5
conseilleront	5
conseillons	5
conseillasses	5
conseillas	5
conseillerez	5
conseilleras	5
conseillasse	5
conseillées	5
conseilliez	5
conseillaient	5
conseillerons	5
conseillerai	5
conseillée	5
conseillassent	5
conseillez	5
conseillers	5
conseillent	5
conseilla	5
conseillerait	5
conseillerais	5
conseillèrent	5
conseillés	5
conseilles	5
conseilleraient	5
conseillant	5
conseillé	5
vendre	6
vendirent	6
vendra	6
vende	6
vendis	6
vendue	6
vendrait	6
vendent	6
vend	6
vendues	6
vendons	6
vendisses	6
vendrais	6
vendais	6
vendu	6
vendant	6
vendait	6
vendiez	6
vendront	6
vendrions	6
vendissiez	6
vends	6
vendîtes	6
vendions	6
vendez	6
vendriez	6
vendisse	6
vendîmes	6
vendissent	6
vendrai	6
vendrons	6
vendras	6
vendraient	6
vendes	6
vendus	6
vendit	6
vendissions	6
vendaient	6
vendît	6
vendrez	6
mixer	7
mixant	7
mixassent	7
mixâmes	7
mixerons	7
mixasses	7
mixassions	7
mixée	7
mixées	7
mixai	7
mixas	7
mixerai	7
mixa	7
mixeront	7
mixé	7
mixaient	7
mixât	7
mixe	7
mixiez	7
mixais	7
mixerions	7
mixâtes	7
mixera	7
mixent	7
mixeras	7
mixerait	7
mixassiez	7
mixons	7
mixait	7
mixions	7
mixerez	7
mixeriez	7
mixes	7
mixerais	7
mixasse	7
mixez	7
mixés	7
mixeraient	7
mixers	7
mixèrent	7
reporter	8
reportant	8
reporteraient	8
reporterons	8
reporters	8
reportaient	8
reportasse	8
reportions	8
reportée	8
reportera	8
reporterai	8
reportai	8
reportâtes	8
reportons	8
reporteras	8
reporterait	8
reporterions	8
reporta	8
reportent	8
reportassiez	8
reportez	8
reportais	8
reporterais	8
reportiez	8
reportait	8
reporteriez	8
reportassions	8
reportées	8
reportâmes	8
reporté	8
reportât	8
reportas	8
