word	cluster
fourrager	0
fourrageasse	0
fourrageraient	0
fourragerez	0
fourragés	0
fourragers	0
fourragerai	0
fourrageât	0
fourragées	0
fourrageai	0
fourrageassent	0
fourragère	0
fourrageant	0
fourragera	0
fourragerions	0
fourrages	0
fourragerons	0
fourragerait	0
fourrageâmes	0
fourrageaient	0
fourrageassions	0
fourrageras	0
fourragée	0
fourrageas	0
fourrageâtes	0
fourragèrent	0
fourragiez	0
fourrageront	0
fourragerais	0
fourrageait	0
fourragea	0
fourrage	0
fourrageasses	0
fourrageriez	0
fourragères	0
fourragent	0
fourrageais	0
fourragez	0
fourrageons	0
fourrageassiez	0
fourragé	0
fourragions	0
vader	1
vaderiez	1
vadrai	1
vaderaient	1
vadions	1
vadant	1
vadaient	1
vadras	1
vades	1
vaderions	1
vadas	1
vadez	1
vadât	1
vadâtes	1
vaderez	1
vadai	1
vadâmes	1
vadera	1
vadait	1
vadés	1
vaderons	1
vaderais	1
vadais	1
vada	1
vadassiez	1
vadrons	1
vadassions	1
vas	1
vaderait	1
vadée	1
vade	1
vadons	1
vadiez	1
vadassent	1
vaderas	1
vadrait	1
vadasse	1
vadèrent	1
vadra	1
vadées	1
vadrions	1
vadriez	1
vadront	1
vadraient	1
vadent	1
vaderai	1
vadasses	1
vadrais	1
vadé	1
vadrez	1
vaderont	1
foutre	2
foutiez	2
se foutre	2
foutriez	2
foutaient	2
foutîmes	2
foutissiez	2
foutrons	2
foutirent	2
foutus	2
foutraient	2
foutues	2
foutrai	2
foutue	2
foutes	2
foutres	2
foutîtes	2
foutît	2
foutis	2
foutrait	2
foutrez	2
foutra	2
foutu	2
foutissent	2
foutons	2
foutent	2
foutit	2
foutront	2
foutisses	2
foutant	2
foutisse	2
fous	2
foutais	2
foutrais	2
foutions	2
foutez	2
foutras	2
foute	2
foutait	2
foutissions	2
foutrions	2
fout	2
ressortir	3
ressortissaient	3
ressors	3
ressortîmes	3
ressortiras	3
ressortiez	3
ressortes	3
ressortisse	3
ressortît	3
ressorties	3
ressortirions	3
ressortissez	3
ressortirait	3
ressortîtes	3
ressortiraient	3
ressortant	3
ressortirent	3
ressortisses	3
ressortissant	3
ressort	3
ressortis	3
ressortira	3
ressortissions	3
ressortais	3
ressortissent	3
ressortons	3
ressortent	3
ressortiriez	3
ressortez	3
ressortissais	3
ressortait	3
ressorte	3
ressortit	3
ressorti	3
ressortirons	3
ressortirais	3
ressortissons	3
ressortie	3
ressortirez	3
ressortaient	3
ressortiront	3
ressortions	3
ressortissiez	3
ressortirai	3
ressortissait	3
bienvenir	4
ferais	4
ferez	4
ferai	4
fis	4
bienvenu	4
bienvienne	4
fais	4
feront	4
fassent	4
faisant	4
bienvenus	4
firent	4
ferions	4
fasses	4
faisons	4
fissiez	4
bienviendrait	4
fera	4
bienvenue	4
faisais	4
feriez	4
fasse	4
fisse	4
faisions	4
bienvenant	4
fît	4
fassiez	4
fissions	4
faisiez	4
fîtes	4
fait	4
ferait	4
faisaient	4
fîmes	4
bienviendra	4
feraient	4
fisses	4
fassions	4
faire	4
fissent	4
bienvenait	4
fit	4
bienvenues	4
feras	4
ferons	4
faisait	4
aller	5
allées	5
iras	5
allassent	5
allant	5
vais	5
allée	5
allasse	5
aillent	5
allai	5
irons	5
allasses	5
irions	5
allers	5
allâmes	5
alliez	5
allassions	5
iraient	5
ira	5
allèrent	5
allâtes	5
allons	5
vas	5
allé	5
allait	5
allassiez	5
irez	5
allés	5
irait	5
aille	5
alla	5
allez	5
allaient	5
allas	5
iriez	5
ailles	5
irais	5
allions	5
allais	5
allât	5
iront	5
irai	5
fier	6
fie	6
fiassiez	6
fieraient	6
fiée	6
fierons	6
fia	6
fias	6
fiâmes	6
fieras	6
fiant	6
fierait	6
fiaient	6
fiassions	6
fions	6
