word	lemma	tense	nonfinite	singular-number	third-person	imperative-subjunctive	participle
microtoming	microtome	PRS	0	0	0	0	1
eats	eat	PRS	0	1	1	0	0
eating	eat	PRS	0	0	0	0	1
eaten	eat	PST	0	0	0	0	1
microtomes	microtome	PRS	0	1	1	0	0
microtoming	microtome	PRS	0	0	0	0	1
microtomed	microtome	PST	0	0	0	0	0
microtomed	microtome	PST	0	0	0	0	1
rectangularizes	rectangularize	PRS	0	1	1	0	0
rectangularizing	rectangularize	PRS	0	0	0	0	1
rectangularized	rectangularize	PST	0	0	0	0	0
incases	incase	PRS	0	1	1	0	0
incased	incase	PST	0	0	0	0	0
incased	incase	PST	0	0	0	0	1
microtomes	microtome	PRS	0	1	1	0	0
microtoming	microtome	PRS	0	0	0	0	1
microtomed	microtome	PST	0	0	0	0	0
rectangularized	rectangularize	PST	0	0	0	0	0
incasing	incase	PRS	0	0	0	0	1
incased	incase	PST	0	0	0	0	0
incased	incase	PST	0	0	0	0	1
overmarches	overmarch	PRS	0	1	1	0	0
overmarching	overmarch	PRS	0	0	0	0	1
allergizes	allergize	PRS	0	1	1	0	0
allergized	allergize	PST	0	0	0	0	0
allergized	allergize	PST	0	0	0	0	1
smakes	smake	PRS	0	1	1	0	0
smaked	smake	PST	0	0	0	0	0
smaked	smake	PST	0	0	0	0	1
pungling	pungle	PRS	0	0	0	0	1
pungled	pungle	PST	0	0	0	0	0
mercifies	mercify	PRS	0	1	1	0	0
mercifying	mercify	PRS	0	0	0	0	1
mercified	mercify	PST	0	0	0	0	1
caveats	caveat	PRS	0	1	1	0	0
caveated	caveat	PST	0	0	0	0	1
stonewalls	stonewall	PRS	0	1	1	0	0
stonewalled	stonewall	PST	0	0	0	0	0
stonewalled	stonewall	PST	0	0	0	0	1
recaning	recane	PRS	0	0	0	0	1
recaned	recane	PST	0	0	0	0	0
recaned	recane	PST	0	0	0	0	1
unsleeps	unsleep	PRS	0	1	1	0	0
unslept	unsleep	PST	0	0	0	0	0
upswelling	upswell	PRS	0	0	0	0	1
upswelled	upswell	PST	0	0	0	0	0
upswelled	upswell	PST	0	0	0	0	1
undumpishes	undumpish	PRS	0	1	1	0	0
undumpished	undumpish	PST	0	0	0	0	1
microtomes	microtome	PRS	0	1	1	0	0
microtomed	microtome	PST	0	0	0	0	0
rectangularizes	rectangularize	PRS	0	1	1	0	0
rectangularized	rectangularize	PST	0	0	0	0	0
rectangularized	rectangularize	PST	0	0	0	0	1
incasing	incase	PRS	0	0	0	0	1
