word	prefix	root	suffix
allocates	a	loc	ate
allocating	a	loc	ate
amelioration	a	meliorate	ion
amortizes	a	mort	ize
amortizing	a	mort	ize
ANABAPTISTS	ana	bapt	ist
ANABAPTIST	ana	bapt	ist
anachronistic	ana	chrono	ic
anarchists	a	arch	ist
upholder	up	hold	er
upholsterer	up	holster	er
uncannier	un	canny	er
uncertainness	un	certain	ness
uncleanness	un	clean	ness
uncompromisingly	un	compromise	ly
unconscionably	un	conscionable	y
unconsciousness	un	conscious	ness
uncouthly	un	couth	ly
undecidedness	un	decide	ness
underestimates	under	esteem	ate
underbidden	under	bid	en
undercarriages	under	carry	age
underhandedly	under	hand	ly
underpayments	under	pay	ment
understatements	under	state	ment
understudied	under	stud	y
undertakers	under	take	er
unendingly	un	end	ly
unevenly	un	even	ly
unevenness	un	even	ness
unfairness	un	fair	ness
unfavourable	un	favour	able
unfeignedly	un	feign	ly
ungenerously	un	generous	ly
unhappier	un	happy	er
unkinder	un	kind	er
unlearnt	un	learn	t
unloosen	un	loose	en
unloosening	un	loose	en
unloosens	un	loose	en
unmanly	un	man	ly
unmannerly	un	manner	ly
unmentionables	un	mention	able
unparliamentary	un	parliament	ory
UNPATRONIZING	un	patron	ize
unpractised	un	pract	ize
unprecedentedly	un	precedent	ly
unrelievedly	un	relieve	ly
unsavoury	un	savor	y
unseemliness	un	seemly	ness
unsparingly	un	spare	ly
UNSTUFFY	un	stuff	y
unswervingly	un	swerve	ly
untidier	un	tidy	er
untidiest	un	tidy	est
untidily	un	tidy	ly
untiringly	un	tire	ly
untouchables	un	touch	able
untowardness	un	toward	ness
ultramontane	ultra	mont	ane
unassumingly	un	assume	ly
unbecomingly	un	become	ly
unbelievers	un	believe	er
unblushingly	un	blush	ly
transalpine	trans	alp	ine
transfigurations	trans	figure	ion
transformations	trans	form	ion
transgressions	trans	gress	ion
transgressors	trans	gress	or
transliterated	trans	litera	ate
transliterating	trans	litera	ate
transmigrated	trans	migr	ate
transmigrating	trans	migr	ate
transshipments	trans	ship	ment
transmutable	trans	mute	able
transparence	trans	par	ance
transpolar	trans	pole	ar
transportable	trans	port	able
transpositions	trans	pose	ion
transsexuals	trans	sex	al
triennials	tri	ann	al
TRIGONAL	tri	gon	al
traducer	trans	duct	er
TETRACHLORIDE	tetra	chlor	ide
surrogates	sur	rog	ate
surveyors	sur	vey	or
synchronizes	syn	chrono	ize
synchronizing	syn	chrono	ize
SYNONYMY	syn	nym	y
synthetically	syn	thetic	ly
subjugated	sub	jug	ate
subjugates	sub	jug	ate
SUBLUNARY	sub	lun	ory
submariner	sub	marin	er
submersible	sub	merse	able
subordinating	sub	ordin	ate
substations	sub	stat	ion
substrata	sub	strat	a
subvention	sub	vent	ion
superannuate	super	ann	ate
superannuated	super	ann	ate
superfluities	super	flu	ity
supercharger	super	charge	er
SUPERLUNARY	super	lun	ory
supernumerary	super	numer	ory
superstructures	super	struct	ure
supervisions	super	vis	ion
suppositories	su	pose	ory
surmountable	sur	mount	able
subcontinents	sub	contain	ant
subcutaneously	sub	cutaneous	ly
subeditor	sub	edit	or
subeditors	sub	edit	or
secessions	se	cess	ion
seducers	se	duct	er
seductions	se	duct	ion
semifinalists	semi	final	ist
semiology	semi	log	y
restatements	re	state	ment
retardations	re	tard	ion
retractions	re	tract	ion
retrenchment	re	trench	ment
retrenchments	re	trench	ment
retrials	re	try	al
retrogression	retro	gress	ion
retrospections	retro	spect	ion
reversals	re	verse	al
reversions	re	verse	ion
revertible	re	vert	able
revitalized	re	vital	ize
revitalizes	re	vital	ize
revitalizing	re	vital	ize
revivifies	re	vive	ify
revolvers	re	volve	er
regressions	re	gress	ion
rejuvenated	re	juven	ate
rejuvenates	re	juven	ate
remilitarizes	re	militar	ize
remonstrances	re	monster	ance
remonstrates	re	monster	ate
remonstrating	re	monster	ate
removers	re	move	er
renewals	re	new	al
reorganizes	re	organ	ize
reorientate	re	orient	ate
repairable	re	pair	able
reparations	re	pair	ion
repatriated	re	pater	ate
repatriates	re	pater	ate
replaceable	re	place	able
replenishes	re	plen	ish
reposition	re	posit	ion
REQUESTERS	re	quest	er
requisitioning	re	quire	ion
requisitions	re	quire	ion
resemblances	re	semble	ance
resisters	re	sist	er
resistless	re	sist	less
resolvable	re	solve	able
resonated	re	sono	ate
respirations	re	spir	ion
reanimated	re	anim	ate
reanimates	re	anim	ate
rearrangements	re	arrange	ment
recapitulations	re	capitulate	ion
recaptures	re	capt	ure
receivable	re	ceive	able
receptacles	re	cept	acle
reciter	re	cite	er
recognizances	re	cognize	ance
reconcilable	re	concile	able
reconcilement	re	concile	ment
reconciliations	re	concile	ion
recriminated	re	crimin	ate
recriminates	re	crimin	ate
redeployment	re	deploy	ment
redeployments	re	deploy	ment
refection	re	fect	ion
reflexives	re	flex	ive
reforestations	re	forest	ion
reformations	re	form	ion
reformatories	re	form	ory
reformative	re	form	ive
refractions	re	fract	ion
quadrangular	quad	angle	ar
QUADRIPARTITE	quad	part	ite
quadrophonic	quadro	phon	ic
processions	pro	cess	ion
proconsular	pro	consul	ar
proconsulship	pro	consul	ship
prognostics	pro	gnose	tics
prohibitions	pro	hibit	ion
PROJECTIVE	pro	ject	ive
projectors	pro	ject	or
proportionable	pro	portion	able
proposer	pro	pose	er
propositioning	pro	pose	ion
prospectuses	pro	spect	us
protractors	pro	tract	or
protrusions	pro	trude	ion
providers	pro	vide	er
provisioning	pro	vide	ion
prearrangements	pre	arrange	ment
preceptors	pre	cept	or
precessions	pre	cess	ion
preclusions	pre	clude	ion
predestinate	pre	destine	ate
predestinates	pre	destine	ate
predestinated	pre	destine	ate
predestinating	pre	destine	ate
predeterminations	pre	determine	ion
prefabricating	pre	fabric	ate
prefecture	pre	fect	ure
prefectures	pre	fect	ure
prejudgements	pre	judge	ment
prenatally	pre	natal	ly
prepossessions	pre	possess	ion
prepossession	pre	possess	ion
prescience	pre	sci	ance
presentiments	pre	senti	ment
preservable	pre	serve	able
preservatives	pre	serve	ive
preservers	pre	serve	er
prevailingly	pre	vail	ly
POLYELECTROLYTES	poly	electro	lyte
polygamist	poly	gam	ist
POLYMERIC	poly	mer	ic
polyphonic	poly	phon	ic
polyphony	poly	phone	y
polytechnics	poly	tech	ic
POLYTONAL	poly	tone	al
postponements	post	pone	ment
pentagonal	penta	gon	al
peradventure	per	advent	ure
perambulate	per	amble	ate
perambulated	per	amble	ate
perambulating	per	amble	ate
perennials	per	ann	al
perfectible	per	fect	able
peripheries	peri	pher	y
perjurer	per	jur	er
perjurers	per	jur	er
perjuries	per	jur	y
persecutions	per	secute	ion
persecutors	per	secute	or
overweeningly	over	ween	ly
overweighting	over	weigh	t
pantheons	pan	theo	on
outbidden	out	bid	en
outfitters	out	fit	er
outgrowths	out	grow	th
outridden	out	rid	en
outrider	out	ride	er
outriders	out	ride	er
outworker	out	work	er
outworkers	out	work	er
overbearingly	over	bear	ly
overestimating	over	esteem	ate
overgrowths	over	grow	th
overleapt	over	leap	t
overpoweringly	over	power	ly
overseen	over	see	n
