word	prefix	root	suffix
abordage	a	bord	age
ambivalente	ambi	valoir	ant/ent
antécédents	anté	céder	ant/ent
aversion	a	verse	ion
coefficient	co	effet	ant/ent
commisération	co	misère	ion
condoléances	con	douleur	nce
convention	con	venir	ion
effraction	é	fract	ion
élocution	é	locut	ion
extension	ex	tendre	ion
extorsion	ex	tordre	ion
imposture	in	poste	ure
infraction	in	fract	ion
poursuivant	pour	suivre	ant/ent
progéniture	pro	gène	ure
prolongement	pro	long	ment
provenance	pro	venir	nce
provenir	pro	venir	[VB]
racontars	re	conte	ars
réaction	re	acte	ion
réamorçage	re	amorce	age
réanimation	re	animer	ion
reboisement	re	boire	ment
recodage	re	code	age
réconciliation	re	concile	ion
reconfiguration	re	configurer	ion
réconfortante	re	confort	ant/ent
reconstitution	re	constituer	ion
recueillement	re	cueillir	ment
redressement	re	dresser	ment
réécriture	re	écrire	ure
rééducateur	re	éduquer	eur
réfrigérante	re	froid	ant/ent
régénération	re	générer	ion
regroupement	re	groupe	ment
réinsertion	re	insérer	ion
relâchement	re	lâcher	ment
reluisants	re	luire	ant/ent
remarquables	re	marque	able
remerciement	re	merci	ment
renaissance	re	naître	nce
renégat	re	nier	at
renégociation	re	négocier	ion
reniement	re	ni	ment
repassage	re	passe	age
répercussions	re	percuter	ion
reporters	re	porter	er
représentante	re	présent	ant/ent
représentation	re	présent	ion
reproducteurs	re	produire	eur
reproduction	re	produire	ion
réquisition	re	quérir	ion
réquisitoire	re	quérir	oire
ressemelage	re	semelle	age
ressentiment	re	sentir	ment
resserrement	re	serrer	ment
retournement	re	tour	ment
retranchements	re	tranche	ment
rétrocession	rétro	céder	ion
rétrospective	rétro	spectacle	if
retrouvailles	re	trouver	aille
réveillon	re	éveil	on
revêtement	re	vêtir	ment
revirement	re	virer	ment
saupoudreur	sau	poudre	eur
soubassement	sous	bas	ment
souteneur	sous	tenir	eur
surabondance	sur	abonder	nce
surbookée	sur	book	[VB]
surintendance	sur	intendant	nce
surnaturelle	sur	nature	el
surveillants	sur	veille	ant/ent
survêtement	sur	vêtir	ment
suspension	sus	pendre	ion
sympathiques	syn	pathe/ie	iques2
transcription	trans	écrire	ion
transformation	trans	forme	ion
transparence	trans	paraître	nce
transparent	trans	paraître	ant/ent
transplantation	trans	plante	ion
transpondeur	trans	pondre	eur
triporteur	tri	porter	eur
ultrasensibles	ultra	sentir	able
uniformité	uni	forme	ité
apparence	a	paraître	nce
apparent	a	paraître	ant/ent
abaissant	a	baisser	ant/ent
abatis	a	battre	is
abats	a	battre	s
abêti	a	bête	[VB]
abnégation	ab	négat	ion
abreuvoir	a	breuv(er)	oir
accalmie	a	calme	ie
