length	number of samples
1	40
2	56
3	127
4	40
5	40
6	129
7	70
8	80
9	89
10	113
11	101
12	101
13	94
14	87
15	84
16	67
17	61
18	68
19	85
20	65
21	76
22	87
23	70
24	65
25	86
26	87
27	89
28	98
29	90
30	99
31	86
32	80
33	82
34	94
35	95
36	111
37	114
38	101
39	93
40	108
41	92
42	77
43	100
44	86
45	93
46	74
47	66
48	92
49	61
50	75
51	65
52	85
53	66
54	64
55	55
56	47
57	52
58	57
59	42
60	49
61	58
62	48
63	55
64	40
65	47
66	44
67	45
68	38
69	29
70	28
71	28
72	34
73	28
74	27
75	27
76	25
77	21
78	20
79	19
80	23
81	19
82	22
83	14
84	20
85	21
86	17
87	16
88	24
89	10
90	18
91	8
92	16
93	13
94	12
95	13
96	11
97	5
98	14
99	11
100	12
101	8
102	6
103	11
104	8
105	7
106	8
107	5
108	11
109	8
110	13
111	4
112	7
113	7
114	5
115	4
116	9
117	9
118	2
119	6
120	8
121	3
122	4
123	3
124	1
125	6
126	4
127	6
128	8
129	1
130	2
131	1
132	2
133	3
134	2
135	2
136	4
137	2
140	4
141	5
142	1
144	1
145	2
146	3
147	2
148	1
149	1
150	2
151	1
152	1
153	5
154	1
155	2
158	1
159	4
161	2
165	2
166	1
167	2
168	1
169	1
170	1
171	1
172	3
173	2
174	3
175	2
176	1
178	2
179	1
180	1
183	3
184	1
185	1
186	1
187	2
190	4
195	1
196	1
202	1
203	1
213	1
218	1
220	1
224	1
228	1
241	1
307	1
321	1
338	1
478	1
