length	number of samples
1	106
2	645
3	322
4	327
5	426
6	424
7	429
8	419
9	364
10	332
11	316
12	322
13	311
14	316
15	287
16	304
17	293
18	237
19	233
20	257
21	238
22	229
23	237
24	188
25	222
26	176
27	194
28	134
29	173
30	149
31	142
32	140
33	114
34	111
35	107
36	87
37	90
38	67
39	59
40	64
41	54
42	51
43	46
44	43
45	42
46	34
47	32
48	35
49	14
50	19
51	24
52	20
53	16
54	20
55	17
56	12
57	14
58	12
59	8
60	7
61	5
62	11
63	8
64	7
65	7
66	5
67	6
68	7
69	3
70	4
71	8
72	3
73	2
74	2
76	1
77	1
78	3
79	2
80	1
81	1
82	1
83	1
85	4
86	2
87	1
88	4
89	1
90	1
92	1
93	1
94	1
95	1
96	1
97	1
98	1
99	1
100	1
101	1
112	1
