length	number of samples
2	2
3	10
4	28
5	99
6	147
7	204
8	266
9	315
10	365
11	401
12	469
13	448
14	530
15	517
16	478
17	486
18	539
19	487
20	533
21	497
22	482
23	491
24	406
25	383
26	397
27	399
28	356
29	324
30	316
31	300
32	281
33	242
34	258
35	214
36	211
37	204
38	191
39	164
40	169
41	153
42	137
43	124
44	121
45	104
46	95
47	95
48	83
49	73
50	82
51	56
52	57
53	36
54	47
55	48
56	37
57	39
58	41
59	42
60	27
61	23
62	30
63	27
64	15
65	24
66	20
67	16
68	21
69	11
70	19
71	14
72	13
73	13
74	9
75	3
76	9
77	5
78	7
79	3
80	7
81	4
82	2
83	2
84	5
85	5
86	4
87	1
88	4
89	2
90	1
91	3
92	3
93	3
98	1
99	2
100	1
101	1
103	2
107	1
112	1
116	1
125	2
130	1
163	1
215	1
400	1
